address,cif_code,comments,dob,first_name,last_name
"689 Ocean Lane, Kew, VIC, Australia",gAAAAABp8jba6Aw30iI6WAwN6WFFsJdnquswGMruQo6zl21oL4TUIiUvf4G0yLgTKtI0e83IRkext2M4aHR9dw1Blz5grfDsww==,user details found.,1988-05-20,Olivia,Moore
"4 King Way, Cronulla, NSW, Australia",gAAAAABp8jbaxi2uhKP1HjncJmOoydQGdvr_z4gyD68sL3XxuD8wm0OWkRyAICh_5O-V1jd1E64PImjaZPQQe5FxjF8B6wZFwQ==,user details found.,1969-10-15,William,Ryan
"161 Pacific Road, Paddington, NSW, Australia",gAAAAABp8jba-IPSBTdFGU5pwULH00DOWoi8_Sup5JzBmIUIGPltvNgB11zK43iLavVkmMm68EVc98Jp3FeVILBnFBIQ-efgYg==,user details found.,1986-07-09,Lucas,Clarke
"368 Chapel Place, Melbourne, VIC, Australia",gAAAAABp8jbacn3ec90A_c88_qTX1jlN7WcMq02EEmUWhGSXEm4rSpMJpoB-kHXe82lCHZ0W1xv-kfWxE_6OBVq2E867jU2qNg==,user details found.,1988-11-21,Olivia,Murphy
"759 Swanston Road, Docklands, VIC, Australia",gAAAAABp8jbaZFvoj6cxtr6KsVBYJDP4T0GvRCd_GMimdU2ebIxuiGcK-nkXdOYrY17_Pe9dbIE6gfwqgER5H0nMMDFjEVDMyQ==,user details found.,1980-05-02,Ava,Young
"966 Flinders Way, Essendon, VIC, Australia",gAAAAABp8jbaoCsTusMyglhXFWDUZbKn9cSc0s9_qbBwECrJXN-WwANfXjY5mS5muQiaEYtVdQ6hcs-bXsXr5DSMPQlnZlrsEw==,user details found.,1989-01-08,Ella,Martin
"572 Grove Drive, Parramatta, NSW, Australia",gAAAAABp8jbaFu1Lp0U0AElMlWjzePnktW3jYzfRfoo09y5TMLw82ucf0_dSMBhPBuvBtM6TP44zTV1nmjISHfyEX8ud26McYg==,user details found.,1991-05-11,Charlotte,Cooper
"860 Oxford Parade, Chatswood, NSW, Australia",gAAAAABp8jbaozpnBPrjNoT8ltu2aL86h_6LhSQYWyR2f4PYYGewuP93yfy_dg3DntkdGobYBfwBqBq8dlRSuWqDEh4mkq5cLg==,user details found.,1988-12-09,Oscar,Smith
"681 Lygon Crescent, Camberwell, VIC, Australia",gAAAAABp8jbaMqJOFkUwueJWK4Cr28scxMLB4diWfKcnvZdThr6xYL-LqtPW8N1J3b_Lqb7TDR8jx20x6ZFh5O6XkiGA69IEwA==,user details found.,1970-03-11,Henry,Smith
"121 Bay Avenue, Williamstown, VIC, Australia",gAAAAABp8jba4_4VfdVy5bc5mG1LoGg-7NvdMfabJrVrJoh98qevAK3k6ELNbvC98ePgkUkpRHAq_a2T4d7vVWAdL2IMOd8apQ==,user details found.,1985-04-09,Olivia,Kelly
"100 Bourke Place, Yarraville, VIC, Australia",gAAAAABp8jbaflRoUbpwrM0I1FvD5Kw1crOoE9nMrWx3RGrAZg_0dI8r76KHVczGDLHZ25Gl-ImY2_cmfyFK7s-JLUWBB2JOiQ==,user details found.,1999-04-21,Henry,Edwards
"675 Pacific Lane, Paddington, NSW, Australia",gAAAAABp8jbaJvWXCHa1W28_zBWBwbp6oY5hVPxcTWnWM0h3rlYFF6iqfHEY_YiJkg_U1WBSdnrhsyt-B4gOtp2Ec6kVzHE0kQ==,user details found.,1980-09-21,Zoe,Robinson
"854 Bourke Avenue, Chatswood, NSW, Australia",gAAAAABp8jbae2GFGsLa2hH8LbMLN8t4ZPw7J2RUwi9T_m7Dk5LXPQQy0ULlWg7vWcXXDUIqJQAMuDODTMil_m-zE4PG3DaJiA==,user details found.,1987-07-26,James,Thompson
"473 Grove Lane, Marrickville, NSW, Australia",gAAAAABp8jbakhLxsahlkjQQ7SgWU_336K7X408D6_xJUah7dPG_FzO8zRxyd9g2u9nQPgBqLbOdC7AL7AZZZ_vAZnBhYPJsbQ==,user details found.,1990-09-06,Liam,Cooper
"133 George Lane, St Kilda, VIC, Australia",gAAAAABp8jba2pHkl0Kbpxxfkl4Btt3RVPF0J17UUljaHx8osJ85QMx_24CRpNR1-FCdCz5XyZJB_LGPmyTkHt2M5yb3sbz59A==,user details found.,1973-02-18,Emily,Brown
"626 Collins Street, Yarraville, VIC, Australia",gAAAAABp8jbazhC9s7Vul0GvStOt_9cGhB2ANl_dT0im4IehUcJTlDclOf0bGRRdFC0JLkGccgybua43bCW9va4w0WjLg1UEcQ==,user details found.,2002-05-26,Charlotte,Clarke
"195 Chapel Lane, Kogarah, NSW, Australia",gAAAAABp8jba0H7J6NZB3pUDrtUm2-nJDqkqC0ClXXFF32Z7yug6kpVE9f7EO7Upb7EYjHltZVDpsGy5H3fNbePL_WNdKE5_3g==,user details found.,1964-05-19,Ella,King
"984 Swanston Avenue, Collingwood, VIC, Australia",gAAAAABp8jbaj95aeLUP8r18EaLPmHeRGu4-mF97DhMno27vBoNU56wCee9QgaEgfWkj3N_rHazWL54ExlOLy2kUaVQZ0gTZjQ==,user details found.,2002-12-04,Noah,Campbell
"592 Pitt Parade, Kew, VIC, Australia",gAAAAABp8jba66N80uIDPMHYsy2TXqk0wKIOOmQ0fsk8DN2t_TIIUp5o3AaW0qgrLxime0dRsoMPYyCwTeuE0oMo42jDd8yI0g==,user details found.,1963-07-31,Jack,Young
"592 Victoria Parade, Yarraville, VIC, Australia",gAAAAABp8jbaCMli2ogQUVCxHNa0DP6dxwVzEipR9sYefMQ4Ybqb2BkdbrRwFO8x-OAKkQ1Fe2ReSfsfs92jiMhNSfK5fqjTNw==,user details found.,1998-11-25,Amelia,Thompson
"233 George Court, Kew, VIC, Australia",gAAAAABp8jbaU8VLeeTiJTmofkiaTu1OaRZ0qo-x4mADvUgZcSOrQtOLBPVa-QpxSt4easOzku9yWD5dHfKITFPgNclDnMD0gA==,user details found.,1985-10-10,Ruby,Wright
"793 Garden Lane, Mosman, NSW, Australia",gAAAAABp8jbaVgq7U080egPlkGRz90VpQQUvV2UubqqO85rK8Z8Sl5QD3UqYWScmiRKJrZY6kP5KdabzxqV_ZtxodvZEfDhyGg==,user details found.,1972-06-05,Liam,Evans
"428 Hill Way, Coogee, NSW, Australia",gAAAAABp8jbaGbAXmaX04aV7u42a5AulupLsHYC68X1k3DUuJG5QTJFqonp5OgMcygIqrlwlTmo7bNTxfeKjDGdMUHuMmmCdyQ==,user details found.,1962-11-14,Ethan,Mitchell
"812 Bridge Crescent, Hawthorn, VIC, Australia",gAAAAABp8jbaL0WejbcVhNCjuuClXk3atdMEXevhVVsvbyn2mKKUdtoO3h1V_jr4LlpFiaRv-Z0MnJ_Wxme-9P45BHA7LEMPPA==,user details found.,1970-03-27,Lucas,Walker
"422 River Street, Southbank, VIC, Australia",gAAAAABp8jbalAma07IkcCh5z4-STQ-u437cHqcB5_u8dKXW1GvQ2OkIN-PeDthxkQA8X6x7uGZbtQyI33jorOv-Sny3PILQMQ==,user details found.,1965-08-23,Henry,Jones
"90 Pacific Crescent, Moonee Ponds, VIC, Australia",gAAAAABp8jbajBXMBa9Iyr9CrJIulLHRZOsJJlZE9W8LRQ2WCeBsu9oE9G5lxLgxoHlxfOG9UI3zJdP5lrIuYMz3Am_pgDIpOg==,user details found.,1966-11-08,Amelia,Edwards
"28 Spencer Place, Melbourne, VIC, Australia",gAAAAABp8jbawuWZrEdpbevD8s8XlH3zQokuLDk-_IbS0qqMmdiIjOCsA3vH9ME83GboP_i9r-L7dIGAowshLhEpuxULHV5I1w==,user details found.,1975-05-24,Samuel,Baker
"549 Princes Terrace, Balmain, NSW, Australia",gAAAAABp8jbaNX6k8mZ4fBMlMfIfm7BtXs-YqdAVcwxEpIsWomeFU2L7ZVxVsDI_L7zNaVAhvh6mvld8z1hAEZKj-x6QafX0wg==,user details found.,1980-11-28,Matilda,White
"679 River Street, Collingwood, VIC, Australia",gAAAAABp8jba1HspZWcE3A7fmIqNA01v2Cqa6iSC-ZUTmxcN28zF-65uU6N8rLS5uzSt5RfD-rxyXx2qD5udD-Wfj1Hlju8Hdg==,user details found.,1970-10-03,Emily,King
"667 Swanston Road, Burwood, NSW, Australia",gAAAAABp8jbaycqbvAEhfY1LylF8-M7-vnLXU2kodtvwHVxAwIZLn2vCum7LzmjOJ4ldsU4MsrtfjBGUWCMTkI0gk1YU_cXZlg==,user details found.,1997-08-24,Liam,Cooper
"135 Ocean Parade, Moonee Ponds, VIC, Australia",gAAAAABp8jbansIQ_vsS-MUu47kRYzSktuDKTZKOkh1M_syQOpEbm3-1w9gPNLS1TJUyjS6xwM8kBz7w1PtoC4ADEtnaR2dOZA==,user details found.,2003-04-17,Matilda,Smith
"563 Collins Crescent, Prahran, VIC, Australia",gAAAAABp8jbad21s_LsSepSllqOodKIlDRSBFvlBKccbjUbljHF9IqV4-i_AbBOCon79oMDo5x5tC6ItK69KmVdEQUwNnVIIRw==,user details found.,1961-11-13,Ava,Young
"820 Park Crescent, Moonee Ponds, VIC, Australia",gAAAAABp8jbamPfxh98gchTwVfC-j8Nkh9spuE64C34gOFbwi7-TXW7ncBuARsBPFl08BpxY8F2D95SWh4prLmJ7zXi1kWJ2ew==,user details found.,1972-08-05,Matilda,Clarke
"312 King Court, Manly, NSW, Australia",gAAAAABp8jbamsrap_Mgq_vN0t2w9f8vJk-_K5sc_MEsOBoBKUF_sGSbCB3_YoLtjKwMG3ypAltyrdv5P4iQphIRZ7YbnqureQ==,user details found.,1960-06-09,Chloe,Jones
"763 Lygon Street, Paddington, NSW, Australia",gAAAAABp8jba9Vy9xYJisX6kZ8MpiCViuiZwXwPvV1McS6fRv-W-oP6W27dxUrmKvShRIv4iWzrlrGMBCAT_L29UrWmKeVp0sg==,user details found.,2001-04-25,Amelia,Johnson
"919 Lygon Terrace, Surry Hills, NSW, Australia",gAAAAABp8jba2ncq8aJPk3vxUp7eK0c4u0a7-zBLJjBV3gDbr5uWE2bqSVGdey87IhoAjI0XH7sdddTEWgkMLjj1fnZHmL587w==,user details found.,1980-01-20,Mia,Harris
"461 High Way, Richmond, VIC, Australia",gAAAAABp8jbaAtSJmJeNYalNRWbOGMAtt2kXHmA5Guks-1-SYTdSIjkW45QdWLWnWP1n68uzeDVKBGFLefMxLeFv5BbrmKbFwg==,user details found.,2000-12-20,Liam,Walker
"150 Bridge Lane, Mosman, NSW, Australia",gAAAAABp8jbaM310YQneGNfWKBzZzV9JjFs9e5B9UZRqkivh1hvASgUFJNYW7szMjZr01tdReGlW_8JA4tmHMRhvW2Ixws-52A==,user details found.,1992-07-27,Ruby,Taylor
"59 Collins Lane, Kew, VIC, Australia",gAAAAABp8jba0nwpoLsozzImbu5gb4nvGZ4o27HwDlpyA2NEn-fFzg2L7G8zP8IIvoSroHxBCus74ZGcVEK6SMs32AmJLjnJ2A==,user details found.,1992-08-08,Zoe,Williams
"188 Castlereagh Court, Bendigo, VIC, Australia",gAAAAABp8jbaY823PXMZawskhe_TuOY3hpqiZh0faiytUfdvG1-OJqyBe0YNlqFyxAwj8e4HYvIpX5MKRI1Hh45bGqCM00FviQ==,user details found.,1961-06-16,Matilda,Mitchell
