action_priority,action_reason,address,cif_code,comments,customer_status,dob,first_name,hold_amount,last_name,payment_status,product,recommended_action,risk_score
P3,Low-medium risk,"35056 Whitaker Causeway, Valenciamouth, NJ 50680",gAAAAABqAaZyzjLRQDIqo0-T65FBsp0Q1qIcuO9M7-pKjGH5fH-zFa2VqDQDNt-b44HEXHCB7qJYnl6zBiSaNyOJ6RMEj7AUMw==,No user details found.,not_found,1962-12-23,Andrew,435.34,Richard,paid,Personal Loan,SMS_REMINDER,9.5
P3,Low-medium risk,"592 Baird Mountains Apt. 929, West Christinechester, AK 48840",gAAAAABqAaZyzaiqii7wOOU_gp8UpAuml7yfvuXd3aLVejzPv3UDKkXT6Qr4MwhuJBLM4XemII2I2iBxYmT3doBzmah26XzfEw==,No user details found.,not_found,1990-01-26,Kristen,4975.99,Peters,paid,Credit Card,SMS_REMINDER,9.5
P3,Low-medium risk,"3288 Daniel Plains, East Lauraberg, GA 42149",gAAAAABqAaZyadb98HUgayvDZ_-OrBfbkIo4SO1XgM_CGp_cPNS-wK5OuFm5dIsFocGZmXAyEw70S7L99seE1kSQk813EZ7s7g==,No user details found.,found,1998-06-16,Dawn,881.23,Rosario,paid,Credit Card,SMS_REMINDER,7.8
P3,Low-medium risk,"USNS Jones, FPO AA 80149",gAAAAABqAaZyeyaTO3QgyckBx65ZgI9K2-wBY6YtxOA8CNFLo2mDEuZSqxgkcMYKQ8-mDyhDWATfNzjf9VpFl4I3M1gVKR2UDA==,No user details found.,found,2008-03-13,Melissa,1711.67,Lee,paid,Home Loan,SMS_REMINDER,8.4
P2,Medium-high risk,"0787 Edward Ridge, Walkermouth, FL 93412",gAAAAABqAaZyy2lHTF_HAYmnBMIrIPM2ZerNT-mlT9aPng9OzKd4eRmKa_kZSXiJytCCAyfGYUzIiXG80saPRUTfX_YVmhFJPw==,No user details found.,not_found,1999-05-10,Erin,4992.98,Lopez,unpaid,Home Loan,CALL_CENTER,91.3
P2,Medium-high risk,"4551 Stewart Station, Anthonymouth, OR 18399",gAAAAABqAaZy2W_pUfz1F2K1fD14bAcd7EM7L7vAejrKl32EvysOxpsREGKnAm9EKP0T2n0IeF19ZGe5rLtcgVng0iDBoOTiaQ==,No user details found.,found,1947-12-04,Robert,1055.59,Rice,unpaid,Credit Card,CALL_CENTER,89.2
P2,Medium-high risk,"8613 Logan Harbors Suite 016, South Todd, OH 25529",gAAAAABqAaZyyGFdZdBVyqUxRthRG-KaMZW-T0VAmoMyPWiwniO-DTF7ZzmPL0ufcq5i0oFTn0rZYINjBZ6lP52-EBisd1b2MA==,No user details found.,found,1983-04-24,Jeremiah,4325.63,Williams,unpaid,Personal Loan,CALL_CENTER,92.6
P3,Low-medium risk,"33111 Johnson Springs Apt. 084, Elizabethport, HI 58915",gAAAAABqAaZyjbPGRRgndL53OAJgpjz4SoEknNQxULIVu-3K4xbhKJ5iMACVj1n0lHIxLnbbDUeStPrPV2Ls-_dVzh55WhPq4g==,No user details found.,found,1948-10-28,Christopher,362.57,Wilson,paid,Credit Card,SMS_REMINDER,7.6
P2,Medium-high risk,"06344 Stephanie Shoals, Luisville, DC 93264",gAAAAABqAaZytejldCAByaQnlWOXEDsFIUgvWYym8yUp2q7Du-Zi0Djv2EUysOJAxgJLD_e8-Sy3XH04Vm8JB9U5zyGivwqSYQ==,No user details found.,found,1962-07-27,David,4540.84,Rodriguez,unpaid,Credit Card,CALL_CENTER,90.8
P2,Medium-high risk,"PSC 5343, Box 9579, APO AP 87092",gAAAAABqAaZyp-76dpFDucCMATxAlPlTTfSYYb9iXRZHb0NB1D0hVWuqLdmqOa2crEqCHua3sac7S5NTlRoa7ns-wSH_g1-1iQ==,No user details found.,not_found,1972-10-25,Stanley,4379.1,Schmidt,unpaid,Personal Loan,CALL_CENTER,92.6
P2,Medium-high risk,"42496 Johnson Fort, West Sethberg, KY 20224",gAAAAABqAaZyvCLTNZf8vEdh6JJtPEZO5vnQ3p5FRvpenLNvbUCVMTbaA0rw6VGGBoGY0JMAUeCTVQ2x-0AULa6vLDp83aeHPw==,No user details found.,not_found,1983-06-05,John,4921.45,Contreras,unpaid,Credit Card,CALL_CENTER,91.0
P2,Medium-high risk,"4910 Carlos Prairie, New Rebeccaland, AL 56110",gAAAAABqAaZyRb9lAntg-6IfnvLMAt9UFFC45jOLbxY-4t3TEJLkpLCi10_REXcWGKyDEL24yTXAEkFt8zSVZxUj9dQjVykj3g==,No user details found.,not_found,1982-02-06,Allison,2976.65,Wu,unpaid,Personal Loan,CALL_CENTER,92.1
P2,Medium-high risk,"53850 Kim Forges Apt. 363, North Brandonland, MD 41670",gAAAAABqAaZylL1H5Pymn-vAPoqMMgE1-y6V__xNxxh-IQKo6ak3HQFmIzfyhVHK8I8yLRJvPoiuejh7tWEh5AuF1BeNBVF5xw==,No user details found.,found,1964-11-10,Martha,4048.07,Kline,unpaid,Personal Loan,CALL_CENTER,92.5
P3,Low-medium risk,"8505 Smith Plains Apt. 146, South Richard, NC 05399",gAAAAABqAaZyah3EXdaJSuWDPZk-SBSAcZFdqghGOyf2_8HxD5NyWev4CUiNq4eFN6Ofnay_7WmhRs42QW7qAlbodfwi0mMUdA==,No user details found.,not_found,1955-11-17,Peggy,1001.58,Wright,paid,Personal Loan,SMS_REMINDER,9.8
P2,Medium-high risk,"1511 Lewis Lane, South Robertbury, ME 78953",gAAAAABqAaZyrpu-ucEcVQJCDjDy5MBTcSQ1yTFQIrIeqIkPjsOf_OaH_yn19PqWV9iGukjKrUi-pLlWVcBZ4sA9sndHlIqPKw==,No user details found.,found,1962-02-02,Dennis,4415.35,Simpson,unpaid,Personal Loan,CALL_CENTER,92.6
P3,Low-medium risk,"1215 Joseph Wall, Port Lisa, IN 74796",gAAAAABqAaZyHbeFitmTTYU_dfo-TpeXLpNrvTm9TK-LBMwIgRj_a9dZ8zLP-nt38ZN29PdtNryWgvl-Du56iHJzjCr2yp88eQ==,No user details found.,not_found,1951-07-22,James,3296.12,Williams,paid,Credit Card,SMS_REMINDER,8.8
P3,Low-medium risk,"43916 Amanda Key Apt. 153, South Amandabury, IL 10792",gAAAAABqAaZyy-b_0TDeQKqo_zbBZ1TuzXZawjTFJzfXDknLnp5X3hzCZr82kv84OJnUsb5ptJlDUfwDmyyxOzd-e3Njhqc20g==,No user details found.,found,1991-01-30,Ashley,2431.86,Wong,paid,Credit Card,SMS_REMINDER,8.4
P2,Medium-high risk,"0608 David Brooks, Coreyberg, VA 06110",gAAAAABqAaZyX966FbfnjSWyNELTfV1fZnt565-R54tyMITbbs7q6LkIN3FxZVkzPtwaxsVK3UYyG2pytVZp3td3_axCiLQp2w==,No user details found.,not_found,2000-08-19,Samantha,1812.15,Dean,unpaid,Home Loan,CALL_CENTER,89.9
P2,Medium-high risk,"PSC 6780, Box 6236, APO AA 13683",gAAAAABqAaZyH1siywuTHfWmxzeYzNladcLuy7NXcar8SUUfQKs43Jd81wwqmamphzJK1Za3zmtoDyf1dbPDvnTrxIbIEcsrSw==,No user details found.,found,1955-08-04,Alison,3798.55,Graham,unpaid,Home Loan,CALL_CENTER,90.8
P2,Medium-high risk,"16223 Brandt Freeway Apt. 527, Lake Thomas, VA 84669",gAAAAABqAaZy_vxbMXMuHZtPCPQwoEjVr9AYY6PPy4xJcl_bgjwa9hiUghnlMmTIHUZqhFBR57ikXaXEco54utWMLIQLFbps2g==,No user details found.,found,1978-08-04,Kevin,3059.57,Haynes,unpaid,Personal Loan,CALL_CENTER,92.1
P3,Low-medium risk,"15329 Stone Tunnel Suite 722, Benjaminmouth, TN 99920",gAAAAABqAaZyfE3SnZyKSDzZY-yk3LX7xcouyQEWL6TCzxAy-ran-yu_H9Kt1-lKLOLjkGGYoWpeLaxDXjBRHeTbTCu3LpBPUA==,No user details found.,not_found,1997-01-12,Bradley,2980.07,Harris,paid,Personal Loan,SMS_REMINDER,10.8
P3,Low-medium risk,"4604 Thomas Streets Apt. 818, Mccallstad, MD 06018",gAAAAABqAaZyWdtAdgjhvtXjRmN0O1iO35rYSZAYmxDrRLn7M_01UCxR2rpg8v21RtUSndgI31ynXFYUOZitXR8V1rzd1jBmMA==,No user details found.,found,1963-07-20,Sandra,391.62,Pittman,paid,Home Loan,SMS_REMINDER,7.9
P2,Medium-high risk,"573 Morgan Ramp Apt. 960, Millerport, NM 66954",gAAAAABqAaZyqtewYNpcOMZmlJwj7grB54tqr3S6tNk8ZPtGZo-7RXz9q_BSavUbWDG7Mw9A-FwsJ8Q-kCi1cZAY87B_rnURjA==,No user details found.,not_found,1951-12-01,Derrick,3444.6,Pratt,unpaid,Credit Card,CALL_CENTER,90.3
P3,Low-medium risk,"854 Timothy Square Suite 278, Rosetown, VT 31684",gAAAAABqAaZyWXqM2Gc7iFileJR_Xhajqk3C8dEIackG9E2aiCKCjJ8vBiXVIzSeW_M1lEWDH0tz-zoZhrmGEj9FpLsyVkgXjw==,No user details found.,not_found,1969-09-18,Robin,3784.61,Turner,paid,Home Loan,SMS_REMINDER,9.3
P3,Low-medium risk,"7177 Allison Passage, Millermouth, TN 55359",gAAAAABqAaZy8jDLtNd1_q3h0pK0koZfHcf78UNPFac5NxphqLy12z3m5DG5pTBUxb47N7ukz84qlD9ciFfKvIj7zVCbXZxyrg==,No user details found.,found,1992-01-05,Sean,3859.77,Herrera,paid,Personal Loan,SMS_REMINDER,11.2
P2,Medium-high risk,"Unit 9316 Box 1795, DPO AP 78227",gAAAAABqAaZy2UeXgFdwvBcUY-sJ7-tkJriS-AUFnXjRSZR6TE5faeaKg8Tt-gWAfinrvxirlTrSrGKUwR5ue5ULc_ArvGbnsg==,No user details found.,found,1997-01-07,Eric,4221.75,Pugh,unpaid,Credit Card,CALL_CENTER,90.7
P3,Low-medium risk,"09711 Eric Drive Suite 701, Lake Pamelatown, AL 67640",gAAAAABqAaZyynTGqb-wKQmmrC44UEiQrqT4rNwybr-JPbec297dcE8MhKfWDqstMFfCKNqI0X9sNUE6OPVItwQb74qm_0fLVg==,No user details found.,not_found,1948-06-10,Allen,1565.98,Mcmillan,paid,Credit Card,SMS_REMINDER,8.1
P2,Medium-high risk,"6761 Larry Burgs, Smithberg, WA 07508",gAAAAABqAaZyVw5ekswlLPFhJpJLmXDnxpze-PRCtA1MlFGXulmqStVelKuUo4AhhbSZ2Ro5mlBu-we4Ff_uzH3xuSIYJA0v3A==,No user details found.,not_found,1948-11-11,Karen,2732.28,Parker,unpaid,Credit Card,CALL_CENTER,90.0
P3,Low-medium risk,"73481 Benjamin Orchard Suite 565, West Troy, SD 40782",gAAAAABqAaZyEY2sv2xdzsSh_7sSzK-A3qL0fqBWXbow6s5ewAm4ziJUQwmL9OCdks2_Ds755FN5jzzuc_3lI5pGaFiK-95h4w==,No user details found.,not_found,1992-09-05,Olivia,3711.82,Walker,paid,Home Loan,SMS_REMINDER,9.2
P3,Low-medium risk,"57596 Smith Walks Apt. 687, Sarahberg, NV 01922",gAAAAABqAaZyX1uM58_HrHYAKPJoKzTR9GBjEg3zWJ6wl38fvDqZtqpok5JoXrKDORYnN25FB9id-V23QXz1oIUWQIlNYL2RDg==,No user details found.,not_found,1950-02-23,Alec,3099.89,Jefferson,paid,Personal Loan,SMS_REMINDER,10.8
P3,Low-medium risk,"8699 Eric Well Suite 029, Smithberg, DE 64876",gAAAAABqAaZygsW67CnXSMmZNst-RvkdDbZ-JAbWyay8ydOF9D8NTMYmk6bXNNCch5aRbOBdq158xOIIorJo8WzI5sAv1xxFbw==,No user details found.,found,1953-10-26,Jack,4353.57,Page,paid,Home Loan,SMS_REMINDER,9.5
P3,Low-medium risk,"471 Kathryn Bridge, North Kristin, NH 13554",gAAAAABqAaZyZ_y5GdwCLi2nPEATg2BEtQGW8ma0WObtNsQMOo7HcBgdf1fmxFydwCDpGTMFJOo-yCSJSqK9GK7a7sZTRiWLPw==,No user details found.,found,2003-03-13,Erika,1181.33,Davis,paid,Personal Loan,SMS_REMINDER,9.9
P2,Medium-high risk,"3789 Carol Parkway Suite 486, Michaelmouth, ID 05690",gAAAAABqAaZyhaL1vyQS7nKAcyT6uelAspt1-fTNc8NHMnaB8qWR4ZrHrAqPHj-hdzZoQmNZwzPE21SDVx7bE1wNhNYq1LEZ-g==,No user details found.,found,2002-05-05,Jack,3838.12,Castaneda,unpaid,Credit Card,CALL_CENTER,90.5
P3,Low-medium risk,"867 Lowery Groves Suite 698, Woodview, AZ 61485",gAAAAABqAaZyxxKjCSisTyKceufdZQi4UB2z-kjA0Ymk8L3dVOFhvWM4JHR5mp5HVXywplnl5u7mjD1BRwNp5P2WULSNbt_KeA==,No user details found.,found,1959-09-11,Brian,4108.86,Shea,paid,Credit Card,SMS_REMINDER,9.1
P3,Low-medium risk,"03029 Williams Falls, Gonzalesside, KS 30680",gAAAAABqAaZygJ5HcafGBd13OhaH7O_VDnGxtkPtL-oLXwl8SYLUlT2TZcwCTDtp8YUkgiDQ6wjCz4vosEAozCdFWyCqU3pFeQ==,No user details found.,not_found,1952-01-02,Tiffany,3134.18,Bell,paid,Home Loan,SMS_REMINDER,9.0
P3,Low-medium risk,"7525 Chelsey Key Apt. 863, Jameshaven, KS 14615",gAAAAABqAaZyY71kxtmmGRv2X2rG5ggLQYGlS0k9PvbtaVKEBy5SCUnajzG4p3oJMQ_FifN1dZ7Xq3cV7nyu4StG4k8KLacTrQ==,No user details found.,not_found,1945-07-07,Alice,4019.6,Blackburn,paid,Credit Card,SMS_REMINDER,9.1
P2,Medium-high risk,"90638 Johnson Highway Apt. 401, Johnsonland, DC 16320",gAAAAABqAaZy0uXjgcuG3gjgHb_R7PeCH4lPyr6jzv0c9_3bJFeqoeSHnnqcNMyD6qYA4h0VOAql_-NEhRCdAdJzO82nCCV3dw==,No user details found.,not_found,1972-05-07,Troy,1456.13,Fox,unpaid,Personal Loan,CALL_CENTER,91.5
P2,Medium-high risk,"2379 Cole River, West Sherrimouth, DC 33679",gAAAAABqAaZyHm7xgSA1XZZF_svJKfBdRC8yGupe8bSM0oUYqNZvP9IUrPfejuQA97eNeGJsTAgfWHXL9QJ8ZoafG29IYzN4mw==,No user details found.,found,1971-11-28,Matthew,3333.29,Noble,unpaid,Personal Loan,CALL_CENTER,92.2
P2,Medium-high risk,"0663 Simmons Grove Suite 407, Jasonview, MO 86315",gAAAAABqAaZyID9sHkfOz0eYkm0qI5grKatfjTYL4IBXNANzgBzyth_8jky8rf6UHg7N6nyVd5K-4HDzGu06N5FD9z4qACDTMw==,No user details found.,found,2004-06-10,Kevin,4518.71,Carson,unpaid,Home Loan,CALL_CENTER,91.1
P2,Medium-high risk,"79604 Johnson Hill, New Cory, SC 55890",gAAAAABqAaZyjwRjfHEiV8NPSPY7FLrpwowkW-ShDtws03UzghhRMVJFKJfAO617LJ4AcsGZbJSqtyV1eipxcuxSK9OU1RdVCw==,No user details found.,found,1983-01-27,Jacob,685.08,Johnson,unpaid,Credit Card,CALL_CENTER,89.0
P2,Medium-high risk,"13682 Elizabeth Tunnel Suite 953, North Ryanberg, FL 02566",gAAAAABqAaZy0UOJqqOdq6e7wxyrupPtv5u_V7AvdKhgPMVxbk25HOkEfjkWMrl6NcNqD6o4Rq02-Jda5dcOcVxjBUXrlOWXfQ==,No user details found.,not_found,1991-04-08,Judy,941.41,Smith,unpaid,Credit Card,CALL_CENTER,89.1
P3,Low-medium risk,"798 Nguyen Extension Suite 415, North Kyleview, MI 31896",gAAAAABqAaZyrgY0n9uaPVK13v9t6ErvuIUEBB_Cz7esZBKJfxS93z6sy0CAtHwdKAc-GwVj5_nGk-81ijGGE8Ld0Vx1rnT22w==,No user details found.,found,2000-08-24,Joanna,776.68,Barker,paid,Credit Card,SMS_REMINDER,7.8
P3,Low-medium risk,"00320 Brian Estate, Lauraborough, WA 40873",gAAAAABqAaZymwjv2iwkXOdHrgAPexkB5nM2Wc52w_2mtUSioFQwRDKGNqYHac9GOlyiJQmTOF_YPmWqgEhtha724qdWJOD4Zw==,No user details found.,found,1981-12-11,Amber,1265.59,Lee,paid,Personal Loan,SMS_REMINDER,9.9
P2,Medium-high risk,"437 Douglas Green, West Jacobbury, WA 62261",gAAAAABqAaZyXkAy9TAhLWMULS9nLnqIjarUnZq-PnCNOHarw95J1eipMYB5XGPZdspq7E8nWIdMYheZgetMzJGfLCukl2qvgg==,No user details found.,not_found,1978-05-03,Sharon,3178.82,Bennett,unpaid,Personal Loan,CALL_CENTER,92.2
P2,Medium-high risk,"7139 Catherine Throughway Suite 623, Lake Brian, VA 28436",gAAAAABqAaZyZUCJL_RHRdhgyvNTyGk8EQxH46Zi4UkA4R3-ozVY_v_J3AUNe9rxGc4rBlBPlu3Xz6i0hjVZ5f2CXOynFhhP0g==,No user details found.,not_found,1967-10-04,Fernando,4758.76,Williams,unpaid,Personal Loan,CALL_CENTER,92.8
P3,Low-medium risk,"80046 Wallace Locks Apt. 607, West Williamfurt, KS 93189",gAAAAABqAaZyKWG8ym9B2CBKiZEzDaSvxkVT4PzXyUaiGW_-0DwLPGPYp6V6Qpe-TEBcIrpAJjSDvyGFWdDZwV2VtzduBndI6Q==,No user details found.,not_found,1961-09-08,Michael,1521.63,Dorsey,paid,Credit Card,SMS_REMINDER,8.0
P3,Low-medium risk,"576 Sara Dam, Cheyenneside, MS 49517",gAAAAABqAaZyFRxHm7ckHV2eBxVosDjd5qdgkXNUavoqTiSpjMmyG1z5EoykSRxHE4LKqAYrpyA-7_KvC5Na0JbWRjQ8ezcC5w==,No user details found.,found,1974-04-08,Luis,3614.32,Harris,paid,Credit Card,SMS_REMINDER,8.9
P2,Medium-high risk,"445 Matthew Spring Apt. 399, Jamesstad, ID 87659",gAAAAABqAaZyuQkUAAWRFi8e-9lWD5cAkZjwD9U9tdaMSeM2t_0vxhFAr1W2D5Zh6MUUalGaXfky1NrRET5g3Ns3P6HMCjL04g==,No user details found.,not_found,1981-05-27,Christina,78.64,Jackson,unpaid,Home Loan,CALL_CENTER,89.0
P2,Medium-high risk,"35383 Adams View Suite 773, Jacksontown, UT 65206",gAAAAABqAaZyg93jIKWT29pIA9KkL3iEF3B16eXMAJCiIqsy_ISYahFV7vDSPyGpEAuHtBG_RgPhHtTbfPSKGs3l2_abESoiSg==,No user details found.,found,2001-09-28,Shawn,2876.16,Ruiz,unpaid,Home Loan,CALL_CENTER,90.4
P3,Low-medium risk,"PSC 8906, Box 6434, APO AE 01937",gAAAAABqAaZyBoNWJYNJoGRCHK9JX_aVeVA7YGWuL57Tzf6AzxwKpEQ8q_pO1nJ-ZSSdnDw763WNElk6D8FyG-0O6btslMb9DQ==,No user details found.,found,1961-11-06,Amanda,1066.91,Johnson,paid,Personal Loan,SMS_REMINDER,9.8
P3,Low-medium risk,"029 Cruz Vista Apt. 855, Pittmanside, IL 89238",gAAAAABqAaZymecD2e8ej8lSis3zm94GDmyPgG9_f2LRDy7MIjiBBgkBFl8ozHBiJj8Dlu7khZ6gcEtVhNahXgo_BKiIggvUnA==,No user details found.,found,1983-10-23,Brent,3995.4,Gardner,paid,Credit Card,SMS_REMINDER,9.1
P2,Medium-high risk,"6949 Jonathon Parkway Suite 535, New Jonathanmouth, VT 20427",gAAAAABqAaZysX3ydkxJm4WkfKO7Zb0lsvUJqjfzz2gC-PiDncLsxZGz88QJjFvCszV9JkBM6Y0ZyrdNBzjHd6h-7hX7sfZwNg==,No user details found.,not_found,1971-04-04,Sean,3826.01,Raymond,unpaid,Credit Card,CALL_CENTER,90.5
P3,Low-medium risk,"5523 Castro Bypass Suite 325, South Ravenmouth, KS 65987",gAAAAABqAaZyoXmKwnAOzCliYHO9hjN9PnVq55pBaKoF_ANPTON646VZHkdQmsYPItQ27FkVGMKyRuLD3S4zqFcSx3guPuY_5w==,No user details found.,found,2003-07-13,Mark,4333.22,Moran,paid,Credit Card,SMS_REMINDER,9.2
P3,Low-medium risk,"94674 Holder Roads Suite 313, Schwartzland, KS 58119",gAAAAABqAaZyeyyup32t3SnTtn5aSBv1i4QpVrZ4sQ33euGP09vY5obv17Y0cXCL9rn_Gx8yERJz73wU0QGhe2PQ7YRLoEFIOw==,No user details found.,found,1964-11-08,Colton,307.13,Wagner,paid,Home Loan,SMS_REMINDER,7.8
P3,Low-medium risk,"010 Duane Skyway Suite 914, Barnesborough, NY 82971",gAAAAABqAaZyLpWGiua0XfERrtMwblxUrYTZdJXcVQ6Xkg7PKyoDhANJXUzACUnb190Yw6Ee7Z-HM3HgA4LK4aHHtI8S346aAw==,No user details found.,found,1999-01-21,Rachel,2065.09,Rodriguez,paid,Home Loan,SMS_REMINDER,8.5
P3,Low-medium risk,"92797 Carter Crossroad, Santosside, NY 86650",gAAAAABqAaZyh9kA-TsVHgvbW3hSbJbzq-ylLq3cfiV4WKW1lNr7hmFbsgCFmVm11FiibjlDtiJozugCRbJbFX_A-mU6OLHcqw==,No user details found.,not_found,1956-03-04,Matthew,721.66,Garcia,paid,Home Loan,SMS_REMINDER,8.0
P3,Low-medium risk,"76295 Connie Views, West Georgeshire, MS 55932",gAAAAABqAaZyZqoeHO9BtKvlIGw0pJUjdE5T163pQvhQzb3cnQ3DUCNQTCxMW960TXQR6KynbPthdyX40M57hfwssyA1i7_tMA==,No user details found.,found,1962-10-14,Albert,3140.69,Martinez,paid,Credit Card,SMS_REMINDER,8.7
P3,Low-medium risk,"3614 Justin Radial Apt. 069, Jennifermouth, NM 62377",gAAAAABqAaZytqm5yv729aqtEbCqk0vSsEsypDy2Tve4nw-Ga86KTHmif5p1FK-MnpoAX2PzIv8_W9-kbAG7RHDCx2uhwQpWSg==,No user details found.,found,1995-01-10,Nicole,4823.34,Miller,paid,Home Loan,SMS_REMINDER,9.7
P2,Medium-high risk,"3301 Flores Ferry Suite 387, Buckview, NJ 39271",gAAAAABqAaZy_Z_8yC4tRnbWK30-nLcWOkJslGcdJOJcZOcc5cQHls1rVPknddmVRz2fXbgTSlggh_eKcefIHf676hXDp2QK-g==,No user details found.,found,1949-05-08,Thomas,964.38,Brown,unpaid,Personal Loan,CALL_CENTER,91.3
P2,Medium-high risk,"462 Diane Cape, East Ruth, NM 76492",gAAAAABqAaZyiavUNFlL2e8VTSsXgaoO-26oTHdBPoHO6oBz1OIx3H9WHsMDsrSa-yXBzRdfhdKz9TzwcyLm1NjrlH8D4Q20FA==,No user details found.,found,1984-02-07,Daniel,4997.57,Garcia,unpaid,Credit Card,CALL_CENTER,91.0
P2,Medium-high risk,"4098 Alex Roads Apt. 958, Barbaraview, DC 70636",gAAAAABqAaZyJndjVXH-AwU7If1CEDXRm-jRa7ZuDVfA0kU87HuMRdCRrjWCiqTvlZnrWw3uieFiw-TMlJl-7ACeA1zkfeoI3A==,No user details found.,not_found,2003-06-12,Scott,3352.15,Melton,unpaid,Credit Card,CALL_CENTER,90.3
P2,Medium-high risk,"6134 Hughes Row Suite 693, Mooreville, DC 16340",gAAAAABqAaZy8xgQiFVL6M1v7w8wrxX-fVl1nghfnTH8Afvw1HeY8f4C9fti2xvgClsGMrK8QE6j3ewZWM_tdgmxkMd1g6Te9Q==,No user details found.,not_found,1986-10-04,Heather,2094.85,Baxter,unpaid,Credit Card,CALL_CENTER,89.7
P3,Low-medium risk,"Unit 1132 Box 0571, DPO AE 63499",gAAAAABqAaZyuGwSMYlBL4J023bF6VotOsUSu54JO0V6bo2U7Dum6XIjD5UE3sSnCQA1O4I61PzGg38Pt1vjRkZkE1sEdIv4QA==,No user details found.,found,1949-11-27,Timothy,3255.46,Walters,paid,Home Loan,SMS_REMINDER,9.0
P2,Medium-high risk,"PSC 5698, Box 8353, APO AA 99334",gAAAAABqAaZyc03oDhWLSoW-cbfkdi7Mnf_z-cq0ZNlc5oX_EF9KCC0AT5uZWRHN2RSGE_iCAJAHUuZXmAPxNRIFIZQJKRJwtg==,No user details found.,not_found,1950-10-01,Mackenzie,4480.25,Santos,unpaid,Home Loan,CALL_CENTER,91.1
