first_name,last_name,cif_code,dob,address,comments,payment_status,customer_status,hold_amount,product
Jack,Castaneda,FE9AUGV4KK,2002-05-05,"3789 Carol Parkway Suite 486, Michaelmouth, ID 05690",Crime easy answer direction agency nothing probably.,unpaid,found,3838.12,Credit Card
Brian,Shea,93J00HLVWH,1959-09-11,"867 Lowery Groves Suite 698, Woodview, AZ 61485",Record her hard whole build.,paid,found,4108.86,Credit Card
Tiffany,Bell,HWT8O39X5E,1952-01-02,"03029 Williams Falls, Gonzalesside, KS 30680",Far drive option meeting whether.,paid,not_found,3134.18,Home Loan
Alice,Blackburn,G6MNEYQGFV,1945-07-07,"7525 Chelsey Key Apt. 863, Jameshaven, KS 14615",Traditional benefit foot well total station arm gas rather.,paid,not_found,4019.6,Credit Card
Troy,Fox,AXXR0V8TLP,1972-05-07,"90638 Johnson Highway Apt. 401, Johnsonland, DC 16320",Smile fact better friend language.,unpaid,not_found,1456.13,Personal Loan
Matthew,Noble,YVI9KRSJ53,1971-11-28,"2379 Cole River, West Sherrimouth, DC 33679",Market coach talk culture data clear use money factor move.,unpaid,found,3333.29,Personal Loan
Kevin,Carson,WV5V4RIQ9K,2004-06-10,"0663 Simmons Grove Suite 407, Jasonview, MO 86315",Detail necessary near learn strong everything right writer.,unpaid,found,4518.71,Home Loan
Jacob,Johnson,MRHX000FDC,1983-01-27,"79604 Johnson Hill, New Cory, SC 55890",Appear attention certain discuss bill billion.,unpaid,found,685.08,Credit Card
Judy,Smith,JWI7UWY6Y5,1991-04-08,"13682 Elizabeth Tunnel Suite 953, North Ryanberg, FL 02566",Bar yard detail else project short.,unpaid,not_found,941.41,Credit Card
Joanna,Barker,VCVE9LDQFG,2000-08-24,"798 Nguyen Extension Suite 415, North Kyleview, MI 31896",Mind method property house show fall marriage girl single.,paid,found,776.68,Credit Card
Amber,Lee,YAJRBYFW1K,1981-12-11,"00320 Brian Estate, Lauraborough, WA 40873",Expect girl concern artist lot big machine who begin story.,paid,found,1265.59,Personal Loan
Sharon,Bennett,H8SPEDR2RG,1978-05-03,"437 Douglas Green, West Jacobbury, WA 62261",Truth statement camera wait why.,unpaid,not_found,3178.82,Personal Loan
Fernando,Williams,XDLMV1RKXR,1967-10-04,"7139 Catherine Throughway Suite 623, Lake Brian, VA 28436",After decade individual phone friend popular civil care your area hotel.,unpaid,not_found,4758.76,Personal Loan
Michael,Dorsey,FAE094Y51U,1961-09-08,"80046 Wallace Locks Apt. 607, West Williamfurt, KS 93189",Poor nature personal yeah range.,paid,not_found,1521.63,Credit Card
Luis,Harris,QWSPCDB0UK,1974-04-08,"576 Sara Dam, Cheyenneside, MS 49517",Figure feeling offer those option.,paid,found,3614.32,Credit Card
Christina,Jackson,XIEIAUP0YB,1981-05-27,"445 Matthew Spring Apt. 399, Jamesstad, ID 87659",Stage pick church major stand.,unpaid,not_found,78.64,Home Loan
Shawn,Ruiz,QCUZB1J4PM,2001-09-28,"35383 Adams View Suite 773, Jacksontown, UT 65206",Leave environment consumer Democrat responsibility medical audience.,unpaid,found,2876.16,Home Loan
Amanda,Johnson,BLHITBRAIF,1961-11-06,"PSC 8906, Box 6434, APO AE 01937",Toward group easy often visit mean door cold resource three.,paid,found,1066.91,Personal Loan
Brent,Gardner,1KGRHKATQS,1983-10-23,"029 Cruz Vista Apt. 855, Pittmanside, IL 89238",Bar help wish four box read teach safe far half high.,paid,found,3995.4,Credit Card
Sean,Raymond,J2W3TUYYZJ,1971-04-04,"6949 Jonathon Parkway Suite 535, New Jonathanmouth, VT 20427",Send prevent note event me let.,unpaid,not_found,3826.01,Credit Card
Mark,Moran,ZI973FYLZD,2003-07-13,"5523 Castro Bypass Suite 325, South Ravenmouth, KS 65987",Rather environment later prove company.,paid,found,4333.22,Credit Card
Colton,Wagner,1G3DEDXCC1,1964-11-08,"94674 Holder Roads Suite 313, Schwartzland, KS 58119",Write power rate opportunity quickly whole debate huge race.,paid,found,307.13,Home Loan
Rachel,Rodriguez,DI971YR22O,1999-01-21,"010 Duane Skyway Suite 914, Barnesborough, NY 82971",Catch range three music clear term movement two article.,paid,found,2065.09,Home Loan
Matthew,Garcia,Z7YNVQFS1U,1956-03-04,"92797 Carter Crossroad, Santosside, NY 86650",Quickly information goal common only.,paid,not_found,721.66,Home Loan
Albert,Martinez,TIOJ6KFP0Z,1962-10-14,"76295 Connie Views, West Georgeshire, MS 55932",Enter trip become after spend really which bar off front.,paid,found,3140.69,Credit Card
Nicole,Miller,2L8JWT8TPZ,1995-01-10,"3614 Justin Radial Apt. 069, Jennifermouth, NM 62377",Assume executive of growth.,paid,found,4823.34,Home Loan
Thomas,Brown,HSIRU41WGN,1949-05-08,"3301 Flores Ferry Suite 387, Buckview, NJ 39271",Throw firm radio economy suggest art ago.,unpaid,found,964.38,Personal Loan
Daniel,Garcia,SUYF5JCB0J,1984-02-07,"462 Diane Cape, East Ruth, NM 76492",Room next president skill next computer store the strategy.,unpaid,found,4997.57,Credit Card
Scott,Melton,KNPI4G80TV,2003-06-12,"4098 Alex Roads Apt. 958, Barbaraview, DC 70636",While week dog skin perhaps four very stay.,unpaid,not_found,3352.15,Credit Card
Heather,Baxter,A6A88OJBWX,1986-10-04,"6134 Hughes Row Suite 693, Mooreville, DC 16340",Discussion impact account make fact.,unpaid,not_found,2094.85,Credit Card
Timothy,Walters,W6WQE236TY,1949-11-27,"Unit 1132 Box 0571, DPO AE 63499",Very five city mouth draw.,paid,found,3255.46,Home Loan
Mackenzie,Santos,VGF9LJ4AMX,1950-10-01,"PSC 5698, Box 8353, APO AA 99334",Design lose military language fly.,unpaid,not_found,4480.25,Home Loan
Amanda,Davis,45R6EDVMNZ,1958-05-24,"63524 Stein Bridge, New Jesus, WV 94485",Me event watch rate see position.,paid,not_found,3272.69,Home Loan
Courtney,Edwards,7VNILSUEMJ,1982-09-02,"457 Kim Vista Suite 569, New Paulton, PA 18496",Role provide save ask after system radio suffer story.,paid,not_found,283.61,Credit Card
Christine,Brown,K4TYMVIJ19,1953-05-30,"806 Martinez Orchard Apt. 695, Ewingchester, MI 34621",We husband part fall like there.,unpaid,found,3668.27,Home Loan
Allen,Dudley,ESXM582VMX,1962-09-27,"2104 Brown Cove Suite 924, North Tammychester, WA 27735",Interview establish machine could all area religious professor little.,unpaid,found,1461.25,Home Loan
Terry,Fry,8JYA0L310R,1986-07-04,"PSC 5885, Box 5074, APO AP 74362",Nice conference available ten human yourself who thought.,unpaid,found,1467.02,Home Loan
Tara,Berger,HR1PK0XW73,2006-01-09,"22749 Cunningham Locks Suite 871, South Danielland, MD 09591",Employee around realize require himself far air provide realize.,paid,found,2392.03,Credit Card
Maurice,Cantrell,8JMP9LGS4J,1964-02-18,"8358 Soto Trafficway, New Elizabethside, RI 23477",North everything bring future produce theory down region speech join always.,unpaid,found,2009.17,Credit Card
Brian,Mendoza,IW2W7BJM6H,1946-05-15,"USNS Robinson, FPO AA 89958",Spend one office least sound successful speak game less American.,paid,found,4736.3,Home Loan
Matthew,Chavez,COHJEPP73S,1983-09-07,"47074 Evans Plaza Suite 535, North Jennifer, HI 87807",Owner interest entire you animal.,unpaid,not_found,1545.71,Personal Loan
Kirk,Hoffman,CO3FHZYV0G,1988-11-27,"47229 Lisa Stravenue Suite 912, West Mark, AK 04020",Themselves research likely accept close enjoy perhaps customer wear southern.,paid,not_found,4706.46,Personal Loan
Sarah,Hall,X9TPTFO7TZ,1958-12-27,"24511 Nicole Shoals Apt. 069, New Rebecca, ME 42025",See course wide watch firm cell safe here.,unpaid,found,1858.95,Home Loan
Marc,Luna,IIK2LFIWFG,1961-01-13,"5267 Justin Pine Suite 334, Josephstad, NC 15408",Worry someone perform shoulder space of expect study.,paid,not_found,1976.12,Home Loan
Brandon,Green,D7POV5BMVZ,1962-06-11,"39751 Bailey Dam Suite 622, Jonesmouth, IA 81776",Capital mouth rather far medical at book attorney hair.,paid,found,4685.06,Home Loan
Diane,Banks,T45AFQGIWY,2004-03-03,"7567 Linda Mill Suite 903, Mariahside, ID 57843",Affect follow evening radio beyond exactly.,unpaid,not_found,3753.86,Home Loan
Susan,Phillips,OHJBE4IBUN,1978-01-29,"855 Caleb Fork Suite 404, North Christopher, AZ 64770",Light particularly interview center.,paid,found,3721.59,Home Loan
Monique,Munoz,HAZ8ULID9C,1984-01-28,"863 Barnes Junction, West Robertberg, DC 37135",Once dream national require spring wrong night.,paid,not_found,4634.01,Credit Card
Alan,Roberts,MSK3KBC59T,1952-12-22,"610 Melody Bridge, South Michael, TX 15041",True can capital over score probably energy line air.,paid,not_found,3064.54,Credit Card
Jacob,Johnson,S6VW4GVAN9,1987-08-09,"50303 Julia Inlet Apt. 944, Davidmouth, MD 42830",While let however throw knowledge within race wall.,unpaid,not_found,1765.83,Home Loan
Vickie,Perez,TKSIDSOSZE,1970-01-02,"17973 Dale Dam, New Tiffanyfurt, IN 80438",Situation difficult college three space realize stock skill fire.,paid,found,3009.35,Home Loan
Christopher,Greene,B39TVX7RJA,1952-08-21,"297 Anthony Pine, Bradychester, MD 02953",Nor staff if force.,paid,not_found,1509.72,Home Loan
Veronica,Nguyen,5IOI161BLP,1997-09-01,"28249 Madison Mountain, Mcfarlandberg, TX 88939",Safe clearly material style wish.,paid,not_found,3273.34,Credit Card
Matthew,Miller,PG80Y9FY6H,2001-12-16,"USNS Mclaughlin, FPO AA 96773",Able cup both even open wife.,unpaid,not_found,3129.41,Personal Loan
Amy,Johnson,3CIB53Z6KL,1948-08-31,"Unit 9086 Box 8943, DPO AE 57871",Bill side term hit behind energy matter personal example.,unpaid,found,4803.69,Home Loan
Benjamin,Lee,D59BTW5WXE,1962-01-18,"388 Tina Views Suite 946, West Michaelshire, LA 20397",Live fish class according activity.,paid,found,2376.08,Credit Card
Sarah,Walters,4XWGPBF5QZ,1999-02-02,"7354 Rebecca Trail Suite 572, South Mariaside, ID 43433",Charge clearly field common show serve church.,unpaid,found,539.67,Personal Loan
Sonia,George,ICYHFEW4ZN,1988-07-17,"498 Andrew Way, East Jennifer, NH 95638",Green small parent maintain produce.,paid,not_found,2894.25,Home Loan
